Date,NVDA,AAPL,AMZN,MSFT,AMD,NFLX,BA,JPM,XOM,BAC,INTC,UNH,MU,DIS,ADBE,BRK-B,LLY,JNJ,QCOM,CVX,HD,COST,WMT,PFE,WFC,C,PG,CSCO,AMAT,MRK,ORCL,NKE,BKNG,GS
2004-01-31,0.17002758383750916,0.3390111029148102,2.5199999809265137,17.099496841430664,14.859999656677246,5.243570804595947,28.748361587524414,21.874374389648438,20.13551902770996,24.72416114807129,17.531679153442383,24.126474380493164,15.749486923217773,19.07790756225586,19.12528419494629,59.619998931884766,36.371517181396484,29.159881591796875,18.466442108154297,19.2240047454834,21.369892120361328,24.74798011779785,11.764594078063965,14.604023933410645,15.745512962341309,302.5238037109375,28.276599884033203,16.926883697509766,15.787836074829102,21.144046783447266,11.153841972351074,6.695675373077393,18.89049530029297,71.99811553955078
2004-02-29,0.17002758383750916,0.35944822430610657,2.1505000591278076,16.40685272216797,15.0,4.914286136627197,29.980310440063477,23.07244300842285,20.945999145507812,24.86377716064453,16.79482650756836,24.570335388183594,14.703428268432617,21.08903694152832,18.60096549987793,62.65999984741211,39.71458053588867,29.557165145874023,19.900774002075195,19.834903717041016,21.875988006591797,26.03428077697754,13.012049674987793,14.67758846282959,15.852136611938477,307.2928161621094,28.676631927490234,15.248016357421875,15.467571258544922,21.35727310180664,10.357139587402344,7.040746688842773,22.73179817199707,76.56893920898438
2004-03-31,0.20174020528793335,0.40633246302604675,2.1640000343322754,15.417377471923828,16.229999542236328,4.87428617477417,28.390403747558594,23.595518112182617,20.65791130065918,24.819143295288086,15.644500732421875,25.54941749572754,16.3360595703125,19.864870071411133,19.631013870239258,62.220001220703125,35.93324279785156,27.808197021484375,20.910175323486328,19.706937789916992,22.55099868774414,25.196853637695312,13.069768905639648,14.036822319030762,15.664182662963867,316.09710693359375,29.339632034301758,15.517952919006348,15.52580451965332,19.782602310180664,9.657001495361328,7.494592189788818,26.622468948364258,75.46964263916016
2004-04-30,0.15680716931819916,0.387398362159729,2.180000066757202,16.159482955932617,14.220000267028809,3.622857093811035,29.510234832763672,21.320322036743164,21.134742736816406,24.668956756591797,14.798999786376953,24.37582015991211,13.315206527709961,18.306842803955078,20.729949951171875,62.380001068115234,39.644752502441406,29.622953414916992,19.70205307006836,20.542091369628906,21.241159439086914,25.123146057128906,12.480756759643555,14.32116413116455,15.606125831604004,296.4740295410156,29.736326217651367,13.766668319702148,13.298478126525879,21.040559768676758,9.053441047668457,6.924826622009277,23.966150283813477,70.14530181884766
2004-05-31,0.1791975349187851,0.42166000604629517,2.424999952316284,16.22132110595703,15.550000190734863,4.70285701751709,31.807954788208008,20.889381408691406,21.621274948120117,25.47808265686035,16.44600486755371,25.870567321777344,14.69365119934082,18.656600952148438,22.293437957763672,59.439998626708984,39.76067352294922,30.70336151123047,21.187881469726562,20.456249237060547,21.681795120239258,25.45918846130371,12.231481552124023,14.220282554626465,16.382152557373047,286.2401123046875,30.306947708129883,14.72790241241455,14.535880088806152,21.17485809326172,9.174155235290527,6.847827911376953,25.87198829650879,68.08624267578125
2004-06-30,0.15642473101615906,0.4889812171459198,2.7200000286102295,17.662260055541992,15.899999618530273,5.142857074737549,35.48186111450195,21.983747482299805,22.201171875,26.187028884887695,15.898763656616211,24.681114196777344,14.967386245727539,20.262331008911133,23.23443603515625,59.099998474121094,37.73136520385742,30.697845458984375,23.054889678955078,21.295757293701172,21.297706604003906,27.662521362304688,11.522566795349121,13.793760299682617,15.94473648071289,286.6717224121094,30.604896545410156,15.603543281555176,14.281119346618652,21.428340911865234,9.60067367553711,7.300912380218506,26.592845916748047,68.26752471923828
2004-07-31,0.11783459782600403,0.4859761595726013,1.9459999799728394,17.61897850036621,12.489999771118164,2.9285709857940674,35.245723724365234,21.3544979095459,23.14600372314453,26.307722091674805,14.043911933898926,24.93883514404297,13.227221488952637,18.354537963867188,21.075881958007812,57.880001068115234,34.390541076660156,30.460853576660156,21.863924026489258,21.644237518310547,20.40223503112793,27.413606643676758,11.634501457214355,12.860220909118652,15.994882583618164,274.3015441894531,29.452613830566406,13.773256301879883,12.35222053527832,20.458425521850586,8.457926750183105,7.0079145431518555,23.383535385131836,64.12183380126953
2004-08-31,0.09521496295928955,0.5182844996452332,1.906999945640564,16.932846069335938,11.430000305175781,1.9928569793701172,36.41344451904297,22.641599655151367,23.184236526489258,27.839576721191406,12.284270286560059,26.219470977783203,11.252426147460938,17.845794677734375,22.919645309448242,57.880001068115234,34.4450798034668,32.1834602355957,24.084867477416992,22.24699592590332,22.17215919494629,27.723377227783203,11.5872802734375,13.217284202575684,16.506057739257812,289.7928161621094,31.610034942626953,12.351158142089844,11.566106796264648,20.28700065612793,8.023365020751953,7.258504867553711,20.618589401245117,65.18338012695312
2004-09-30,0.11095710843801498,0.5822994709014893,2.0429999828338623,17.149934768676758,13.0,2.20285701751709,35.99505615234375,22.727415084838867,24.305728912353516,27.089359283447266,11.57456111907959,29.236705780029297,11.760788917541504,17.92527961730957,24.72496795654297,57.41999816894531,32.599327087402344,31.202999114990234,24.711530685424805,24.47854232788086,23.773202896118164,27.95233726501465,11.703883171081543,12.379826545715332,16.7532958984375,274.48828125,30.56519317626953,11.91662883758545,12.002838134765625,15.013930320739746,9.077585220336914,7.604709148406982,21.892440795898438,67.79364013671875
2004-10-31,0.11057470738887787,0.787419319152832,1.7065000534057617,17.348417282104492,16.81999969482422,1.352856993675232,34.795692443847656,22.268678665161133,24.75332260131836,28.002120971679688,12.843955993652344,28.705427169799805,11.90743350982666,20.047698974609375,28.003637313842773,56.08000183105469,29.808969497680664,32.33857345581055,26.33195686340332,24.2138614654541,24.913362503051758,32.28221130371094,11.862275123596191,11.712291717529297,16.778581619262695,278.5790100097656,29.04177474975586,12.647428512573242,11.718960762023926,14.245035171508789,10.188138008117676,7.8469367027282715,19.690359115600586,71.72501373291016
